                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 0.9721,                 8.1273,                0.45388,                0.83853,                 1.0992,                0.75348,                0.98182,                0.86847,                  0.669,                0.31835,                0.34545,                0.17788,                0.05291,                0.87503,                 8.9299,                0.12505,                0.72576,                 1.0133,              0.0015842,              0.0015842,              0.0015842
                     23,                0.99671,                 7.9649,                0.43804,                0.87985,                 1.1031,                0.83637,                0.96364,                0.87695,                0.66954,                0.32782,                0.36364,                0.16398,                 0.0526,                0.94644,                 8.9851,                0.12384,                0.70088,                 1.0797,              0.0015644,              0.0015644,              0.0015644
                     24,                0.96235,                 8.0185,                0.44724,                0.84278,                 1.0975,                0.77842,                0.95817,                0.82019,                0.60691,                0.26312,                0.32727,                0.15552,                0.04117,                0.98989,                 8.8525,                0.13208,                0.86977,                 1.1133,              0.0015446,              0.0015446,              0.0015446
                     25,                0.98012,                 7.7712,                0.44232,                0.84736,                 1.0859,                0.76626,                0.95376,                0.89324,                0.66436,                0.41071,                0.34221,                0.21653,                0.06614,                0.89436,                 8.7842,                0.13128,                0.68009,                 1.0356,              0.0015248,              0.0015248,              0.0015248
                     26,                0.98804,                 7.5212,                0.44137,                0.83724,                  1.111,                0.77757,                0.96364,                0.85414,                0.64129,                0.39878,                0.43636,                0.32115,                0.09806,                 0.9059,                 8.5496,                0.13119,                0.71888,                 1.0636,               0.001505,               0.001505,               0.001505
                     27,                0.96417,                  7.745,                0.41206,                0.80284,                 1.0845,                0.80205,                0.96364,                0.83459,                0.61441,                0.38927,                0.45455,                0.30485,                0.08297,                 1.0307,                 8.5471,                0.12133,                0.74677,                 1.1281,              0.0014852,              0.0014852,              0.0014852
                     28,                0.99457,                 7.7165,                0.43758,                0.82371,                 1.1042,                0.78495,                0.92913,                0.87784,                0.64799,                0.46413,                0.48822,                0.34457,                0.11186,                0.94536,                  8.445,                0.13186,                 0.7169,                 1.0777,              0.0014654,              0.0014654,              0.0014654
                     29,                0.92246,                 7.6051,                0.44629,                0.78316,                 1.0785,                 0.7681,                0.98182,                 0.8502,                0.65339,                0.51148,                0.47273,                0.37785,                0.12516,                0.92018,                  8.414,                 0.1191,                0.72677,                 1.0686,              0.0014456,              0.0014456,              0.0014456
                     30,                0.92562,                 7.6493,                0.42228,                0.79706,                 1.0733,                0.81729,                0.97604,                0.88306,                0.67906,                0.44832,                0.50243,                0.35959,                0.10872,                0.90643,                 8.3108,                0.11751,                0.68025,                 1.0815,              0.0014258,              0.0014258,              0.0014258
                     31,                0.94918,                 7.7579,                0.40952,                0.78669,                 1.0702,                0.78933,                0.95377,                0.85793,                0.66485,                0.42509,                0.41818,                  0.309,                0.08097,                0.89135,                 8.5365,                0.12974,                0.70102,                 1.0572,               0.001406,               0.001406,               0.001406
                     32,                 0.9059,                 7.4601,                0.42657,                0.78821,                 1.0525,                0.80385,                0.92727,                0.83757,                0.65702,                0.55161,                0.56364,                0.45292,                0.12325,                0.89687,                 8.4141,                0.11857,                 0.6728,                 1.0342,              0.0013862,              0.0013862,              0.0013862
                     33,                0.89012,                 7.5764,                0.41654,                0.79011,                 1.0512,                0.79052,                0.94545,                0.85096,                0.64217,                0.52468,                0.56364,                0.41118,                0.12853,                0.88298,                 8.2923,                0.09892,                0.68774,                 1.0332,              0.0013664,              0.0013664,              0.0013664
                     34,                0.93201,                 7.5639,                0.38686,                0.77931,                 1.0665,                 0.7746,                0.94545,                0.85016,                0.63675,                0.45692,                0.50909,                0.40176,                0.11011,                0.91997,                  8.517,                0.10064,                0.69376,                  1.054,              0.0013466,              0.0013466,              0.0013466
                     35,                0.91372,                 7.6857,                0.38656,                0.77023,                 1.0427,                0.80558,                0.89091,                0.87223,                0.67908,                0.55288,                0.54545,                0.44747,                0.11862,                0.89548,                 8.3802,                0.11193,                0.69944,                 1.0643,              0.0013268,              0.0013268,              0.0013268
                     36,                0.97761,                 7.3509,                0.40325,                0.81163,                 1.1034,                0.76075,                0.96364,                0.86211,                0.66063,                 0.5166,                0.36364,                0.27749,                0.07746,                0.86955,                 8.6095,                 0.1021,                0.73958,                 1.0344,               0.001307,               0.001307,               0.001307
                     37,                0.91964,                    7.4,                0.38824,                0.79176,                 1.0617,                0.80423,                0.94545,                0.86922,                0.69389,                0.57595,                0.54333,                0.47199,                0.16094,                 0.8007,                 8.2124,                0.09776,                0.68168,                 1.0091,              0.0012872,              0.0012872,              0.0012872
                     38,                0.92632,                 7.2963,                0.39504,                0.77344,                 1.0717,                0.83127,                0.94545,                0.89002,                0.68682,                 0.4798,                0.54545,                0.37217,                0.11016,                0.89488,                 8.2742,                0.10003,                 0.6465,                 1.0405,              0.0012674,              0.0012674,              0.0012674
                     39,                0.90177,                 7.3784,                0.39669,                0.76963,                 1.0707,                0.78484,                0.92727,                0.84774,                0.66574,                0.54449,                0.60862,                0.43185,                0.15187,                0.85128,                 8.1435,                0.10294,                0.68691,                 1.0041,              0.0012476,              0.0012476,              0.0012476
                     40,                0.87002,                 7.4717,                0.39067,                0.75705,                 1.0515,                0.79405,                 0.9814,                 0.8648,                0.67992,                0.50852,                0.49091,                0.36932,                0.12993,                 0.8181,                 8.1879,                0.11459,                0.62687,                0.99806,              0.0012278,              0.0012278,              0.0012278
                     41,                0.90003,                 7.5647,                0.39806,                0.76354,                 1.0657,                0.79356,                0.97852,                0.85637,                0.66841,                0.51717,                0.47273,                0.39628,                0.12452,                0.84708,                 8.2114,                0.09997,                0.68731,                 1.0388,               0.001208,               0.001208,               0.001208
                     42,                0.88523,                  7.285,                0.38898,                0.75727,                 1.0694,                0.79019,                0.95874,                0.84336,                0.65031,                0.60509,                0.66867,                0.52739,                 0.1735,                 0.8812,                 8.1299,                0.10722,                0.65271,                 1.0461,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.8788,                 7.1923,                0.36034,                0.74099,                 1.0519,                 0.7881,                0.96364,                0.84765,                0.66157,                0.52412,                0.54545,                0.41376,                0.13274,                0.82207,                  8.206,                0.09387,                 0.6294,                 1.0151,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.8849,                 7.0798,                0.39003,                0.75999,                 1.0534,                0.77099,                0.97942,                0.87865,                0.66562,                 0.5752,                0.61818,                0.52927,                0.17952,                 0.8802,                 8.0648,                0.09089,                0.70334,                  1.046,              0.0011486,              0.0011486,              0.0011486
                     45,                0.89634,                 7.1334,                0.39721,                0.76078,                 1.0708,                0.78598,                0.94545,                0.89236,                0.69511,                0.65105,                0.49091,                0.52331,                0.17777,                0.84499,                 7.9813,                0.10028,                0.64298,                 1.0276,              0.0011288,              0.0011288,              0.0011288
                     46,                0.90136,                 7.1243,                0.39695,                0.77903,                 1.0537,                 0.7787,                0.95972,                0.88576,                0.68143,                0.52466,                0.63636,                0.47999,                0.15193,                0.83145,                 8.0517,                0.10489,                0.67276,                 1.0208,               0.001109,               0.001109,               0.001109
                     47,                0.87809,                 7.0401,                  0.381,                0.76292,                 1.0628,                0.80618,                0.94545,                0.88107,                0.68315,                0.53473,                0.61818,                0.47798,                0.15124,                0.84647,                 8.0962,                0.10134,                0.75734,                 1.0281,              0.0010892,              0.0010892,              0.0010892
