                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73541,                 10.825,                0.69827,                0.78139,                0.98875,                0.70293,                0.77449,                0.69508,                0.54909,                      0,                      0,                      0,                      0,                0.90081,                 11.127,                0.66672,                0.80119,                 1.0237,                0.00044,                0.00044,                0.00044
                      2,                0.84383,                 10.074,                0.65603,                0.81191,                 1.0398,                0.76451,                0.74545,                0.74095,                0.55775,                      0,                      0,                      0,                      0,                0.87767,                 10.423,                 0.6036,                0.79613,                 1.0102,             0.00089109,             0.00089109,             0.00089109
                      3,                0.88931,                 9.5067,                0.62288,                0.85456,                 1.0398,                0.80712,                0.68486,                0.72142,                0.53375,                 0.0171,                0.01818,                0.00085,                0.00017,                0.95174,                 9.4139,                0.41214,                0.82533,                  1.063,              0.0013331,              0.0013331,              0.0013331
                      4,                0.90346,                 8.8543,                0.58383,                0.83279,                 1.0522,                 0.7222,                0.76364,                0.74106,                0.55825,                      0,                      0,                      0,                      0,                0.85149,                 9.5679,                0.26892,                0.81603,                  1.005,              0.0017659,              0.0017659,              0.0017659
                      5,                0.93873,                 8.7465,                0.54864,                   0.89,                  1.067,                0.85468,                0.67273,                0.73935,                0.57109,                0.03084,                0.03636,                0.00225,                0.00023,                0.89366,                 9.2638,                 0.2181,                0.92074,                 1.0272,              0.0019208,              0.0019208,              0.0019208
                      6,                0.87777,                 8.1607,                0.54397,                0.89033,                 1.0297,                0.80634,                0.75712,                0.73358,                0.53954,                0.05492,                0.07273,                0.00663,                0.00098,                 1.0016,                 8.5874,                0.20173,                0.82376,                  1.076,               0.001901,               0.001901,               0.001901
                      7,                0.91975,                 7.8294,                0.54552,                0.83482,                 1.0585,                0.79341,                0.72727,                0.72057,                0.54649,                 0.0541,                0.07273,                0.00618,                0.00182,                0.98542,                 7.8895,                0.16837,                0.88253,                 1.1422,              0.0018812,              0.0018812,              0.0018812
                      8,                0.92238,                 7.4917,                0.52787,                0.83594,                 1.0581,                 0.7715,                0.67273,                0.73698,                0.57968,                0.18342,                0.23282,                0.08263,                0.01599,                0.90639,                 7.4379,                 0.1751,                0.78258,                  1.075,              0.0018614,              0.0018614,              0.0018614
                      9,                0.89067,                 7.4465,                0.52292,                0.85274,                 1.0504,                0.79692,                0.72727,                0.76648,                  0.599,                0.33855,                0.41818,                0.19535,                0.03825,                0.87977,                 6.8263,                0.19021,                 0.7718,                 1.0322,              0.0018416,              0.0018416,              0.0018416
                     10,                0.88843,                 7.2644,                0.53001,                0.81494,                 1.0363,                0.84532,                0.72727,                0.74642,                0.55517,                0.39471,                    0.4,                0.24455,                0.04934,                0.95915,                 6.8407,                 0.1896,                0.73528,                 1.0455,              0.0018218,              0.0018218,              0.0018218
                     11,                0.91943,                 7.3294,                0.50297,                 0.8262,                 1.0413,                0.80753,                0.72727,                0.72913,                0.55503,                0.46555,                0.49098,                0.28415,                0.06134,                0.92476,                 6.3594,                0.18898,                0.77495,                 1.0192,               0.001802,               0.001802,               0.001802
                     12,                0.84386,                 6.6194,                0.52385,                0.79851,                 1.0254,                0.90551,                0.72727,                0.76499,                0.58812,                0.56544,                0.50909,                  0.374,                0.12745,                0.88877,                 5.8688,                0.19962,                0.79139,                  1.009,              0.0017822,              0.0017822,              0.0017822
                     13,                0.91375,                 6.6669,                0.51907,                0.82029,                 1.0475,                0.79764,                0.74545,                0.72866,                0.54924,                0.55924,                0.61818,                0.50179,                0.19077,                0.92367,                 5.4469,                0.20835,                0.84016,                 1.0071,              0.0017624,              0.0017624,              0.0017624
                     14,                0.84052,                 6.6966,                0.53646,                0.79005,                 1.0192,                0.81765,                0.67273,                 0.7454,                0.56808,                 0.5686,                0.65455,                0.44742,                0.16262,                0.86137,                 5.3674,                0.20239,                0.75706,                 1.0008,              0.0017426,              0.0017426,              0.0017426
                     15,                 0.8635,                 6.3554,                0.53626,                0.78603,                 1.0425,                0.83644,                0.70909,                0.73371,                0.56508,                 0.6134,                0.76364,                0.59327,                0.20261,                0.82703,                 5.3293,                0.21854,                0.79484,                0.98462,              0.0017228,              0.0017228,              0.0017228
                     16,                0.83781,                 6.2968,                0.52506,                0.74657,                 1.0221,                0.71251,                0.74545,                0.72645,                0.56411,                0.66145,                0.69091,                0.48334,                 0.2054,                0.87877,                 5.1914,                0.23673,                0.79603,                0.99285,               0.001703,               0.001703,               0.001703
                     17,                0.87584,                  6.079,                0.54347,                 0.7835,                  1.049,                0.87661,                0.72727,                  0.757,                0.58854,                 0.6142,                0.70909,                0.51608,                0.20924,                0.85267,                 4.9443,                 0.2184,                 0.7406,                 1.0057,              0.0016832,              0.0016832,              0.0016832
                     18,                0.84802,                 6.1778,                0.52001,                0.72644,                 1.0111,                0.85699,                0.69091,                0.73493,                0.56177,                0.54296,                0.61818,                0.43216,                0.17685,                0.91554,                 5.2617,                0.23332,                 0.7201,                 1.0845,              0.0016634,              0.0016634,              0.0016634
                     19,                0.83865,                 5.7287,                0.50314,                0.76296,                  1.013,                0.84535,                0.74545,                0.78729,                0.63799,                0.63475,                0.63636,                0.53668,                0.24087,                  0.844,                 5.0789,                0.23678,                0.69592,                0.99197,              0.0016436,              0.0016436,              0.0016436
