                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.96429,                 5.4262,                0.47503,                0.77204,                  1.071,                0.85482,                 0.9635,                0.88094,                0.68512,                0.66377,                0.74545,                0.56107,                0.14449,                0.90355,                 4.0657,                0.19662,                0.97103,                 1.0289,              0.0017228,              0.0017228,              0.0017228
                     23,                0.96057,                 5.4732,                0.45367,                0.80915,                 1.0729,                0.83953,                0.96364,                0.88828,                0.68137,                0.68248,                0.78182,                0.62584,                0.20095,                0.86259,                 4.0075,                0.18921,                0.67109,                  1.022,              0.0017096,              0.0017096,              0.0017096
                     24,                0.93837,                 5.4784,                0.46179,                0.76545,                 1.0714,                0.86811,                0.95749,                0.93666,                0.71137,                0.76565,                0.83636,                0.71026,                0.20124,                0.90989,                 3.9018,                0.18755,                0.63356,                 1.0532,              0.0016964,              0.0016964,              0.0016964
                     25,                 0.9468,                 5.1735,                0.45248,                0.77046,                 1.0575,                0.83838,                0.94322,                0.90112,                0.69386,                0.72403,                0.81818,                0.70232,                0.20236,                0.90223,                 3.8764,                0.18331,                0.63131,                 1.0324,              0.0016832,              0.0016832,              0.0016832
                     26,                0.95788,                  5.018,                0.44414,                0.77304,                 1.0761,                0.84246,                0.90909,                0.90678,                0.70194,                0.77405,                0.83636,                0.76544,                0.19123,                 0.8522,                 4.0941,                0.17926,                0.72207,                 1.0144,                0.00167,                0.00167,                0.00167
                     27,                0.94347,                 5.0078,                0.42815,                0.76861,                 1.0668,                0.85325,                0.90909,                0.92302,                0.73054,                0.81182,                0.83636,                0.78276,                0.23696,                0.89098,                 3.9258,                0.17635,                0.70521,                  1.042,              0.0016568,              0.0016568,              0.0016568
                     28,                0.94377,                 4.8956,                0.44322,                0.77472,                 1.0805,                0.87165,                0.94545,                0.92106,                0.73895,                0.78995,                0.85455,                0.77536,                0.23655,                0.87654,                 3.7064,                0.17394,                0.61881,                 1.0263,              0.0016436,              0.0016436,              0.0016436
                     29,                0.94422,                 4.9786,                0.44006,                0.76077,                 1.0756,                0.80016,                 0.9464,                0.90371,                0.72178,                0.72586,                0.86661,                0.73789,                0.22838,                0.78872,                 3.6346,                0.17391,                0.70179,                0.99994,              0.0016304,              0.0016304,              0.0016304
                     30,                0.92751,                 4.9812,                0.41517,                 0.7704,                 1.0673,                 0.8497,                0.92514,                0.90763,                0.72095,                0.76191,                0.81818,                0.74427,                0.24132,                 0.8154,                 3.6586,                0.17907,                0.86728,                 1.0064,              0.0016172,              0.0016172,              0.0016172
                     31,                0.93127,                 4.9369,                0.40833,                0.74245,                 1.0605,                0.83855,                0.94437,                0.93247,                0.72839,                0.75783,                0.85346,                0.70695,                0.20663,                0.83856,                 3.8753,                0.17535,                0.66774,                 1.0248,               0.001604,               0.001604,               0.001604
                     32,                0.92615,                 4.8261,                0.42045,                 0.7507,                  1.058,                0.80889,                0.96364,                0.90778,                0.71558,                0.73765,                0.81818,                0.72759,                0.22471,                0.82264,                 3.4984,                0.18216,                0.67376,                0.99798,              0.0015908,              0.0015908,              0.0015908
                     33,                0.90106,                 4.8779,                0.40682,                0.75749,                 1.0505,                0.87126,                0.90909,                0.90559,                 0.7203,                0.80035,                0.83636,                0.76363,                 0.2609,                0.82065,                 3.6432,                0.15953,                0.62325,                 1.0034,              0.0015776,              0.0015776,              0.0015776
