                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7516,                 9.6412,                0.67698,                 3.1609,                 2.7985,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                 0.0802,                 0.0022,                 0.0022
                      2,                 2.4356,                 9.2466,                0.59466,                 2.5343,                 2.7016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,               0.059455,              0.0044554,              0.0044554
                      3,                 2.3177,                 9.4041,                0.52527,                 2.4287,                  2.628,                0.00067,                0.14545,                0.00073,                 0.0003,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,               0.038665,              0.0066654,              0.0066654
                      4,                 2.2285,                  9.177,                0.50018,                  2.419,                 2.6129,                0.00067,                0.14545,                0.00073,                 0.0003,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                0.01783,              0.0088297,              0.0088297
                      5,                 2.1489,                 9.1095,                0.47054,                 2.2896,                 2.5423,                0.00067,                0.14545,                0.00073,                 0.0003,                      0,                      0,                      0,                      0,                    nan,                 11.981,                 15.275,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      6,                 2.1159,                 9.2307,                0.47144,                  2.151,                 2.4432,                0.00067,                0.14545,                0.00073,                 0.0003,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   4765,                      0,               0.009505,               0.009505,               0.009505
                      7,                 2.0936,                  9.004,                0.47359,                 2.1016,                 2.4388,                0.00067,                0.14545,                0.00073,                 0.0003,                      0,                      0,                      0,                      0,                 3.2117,                 11.176,                0.00024,                 76.345,                 7.2057,               0.009406,               0.009406,               0.009406
                      8,                 2.0531,                 8.7973,                 0.4477,                 2.0169,                 2.3962,                0.19807,                0.33685,                0.17575,                0.04896,                      0,                      0,                      0,                      0,                 2.6688,                 10.811,                0.11827,                 31.079,                 3.3573,               0.009307,               0.009307,               0.009307
                      9,                 2.0258,                 8.8511,                0.45392,                 2.0084,                 2.3511,                0.45455,                0.09091,                0.13352,                 0.0503,                      0,                      0,                      0,                      0,                 2.4394,                 11.398,                0.13606,                 67.168,                 2.5844,               0.009208,               0.009208,               0.009208
                     10,                 1.9726,                 8.7513,                0.45949,                  1.945,                 2.3088,                0.45069,                0.36364,                0.27284,                0.04531,                0.00035,                0.01818,                  5e-05,                      0,                 2.5945,                 10.774,                0.07948,                 16.108,                 3.0675,               0.009109,               0.009109,               0.009109
