                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.718,                 9.7784,                0.70936,                 3.0326,                 2.7547,                0.60442,                0.77791,                0.65287,                0.31494,                      0,                      0,                      0,                      0,                 1.5063,                 11.486,                 0.6799,                 1.4327,                 1.4232,                 0.0791,                 0.0011,                 0.0011
                      2,                 1.8093,                 9.6143,                0.70894,                 1.8442,                 1.9246,                0.61595,                    0.8,                  0.626,                0.21323,                      0,                      0,                      0,                      0,                  2.183,                  11.49,                0.67793,                 1.5988,                 1.7523,               0.057228,              0.0022275,              0.0022275
                      3,                 1.6222,                 9.7976,                0.69938,                   1.43,                 1.7001,                 0.7123,                0.87273,                0.76371,                0.29227,                      0,                      0,                      0,                      0,                 1.9717,                 11.421,                0.66093,                 1.3805,                 1.5605,               0.035332,              0.0033321,              0.0033321
                      4,                 1.5389,                 9.5088,                0.68756,                 1.2641,                 1.6113,                0.68894,                0.72488,                0.70367,                0.27134,                      0,                      0,                      0,                      0,                 1.9219,                  11.26,                0.64784,                 1.2987,                 1.6494,               0.013414,              0.0044136,              0.0044136
                      5,                 1.4661,                 9.4062,                0.67779,                 1.2485,                 1.5497,                0.63289,                0.69091,                0.55787,                 0.1375,                      0,                      0,                      0,                      0,                 2.5156,                 11.059,                0.62717,                 1.5849,                 1.9974,              0.0048002,              0.0048002,              0.0048002
                      6,                 1.4602,                 9.3177,                 0.6705,                 1.1858,                 1.5373,                0.71336,                0.85978,                0.78534,                 0.2747,                      0,                      0,                      0,                      0,                 1.8953,                 10.837,                0.60656,                  1.434,                 1.6599,              0.0047503,              0.0047503,              0.0047503
                      7,                 1.4647,                 9.0759,                 0.6652,                 1.2078,                 1.5627,                0.74694,                0.85869,                0.80636,                0.33225,                      0,                      0,                      0,                      0,                 1.9125,                 10.546,                0.59095,                 1.1748,                  1.691,              0.0047003,              0.0047003,              0.0047003
                      8,                 1.3923,                  8.668,                0.65781,                 1.1301,                 1.5068,                0.73037,                0.78182,                0.76524,                0.24775,                      0,                      0,                      0,                      0,                  2.127,                 10.475,                0.55996,                 1.3549,                 1.8428,              0.0046504,              0.0046504,              0.0046504
                      9,                  1.429,                 8.6359,                0.65314,                 1.0994,                 1.5059,                0.74883,                0.85455,                0.79676,                0.32692,                      0,                      0,                      0,                      0,                 1.6434,                 10.179,                0.54268,                 1.1989,                 1.4414,              0.0046004,              0.0046004,              0.0046004
                     10,                 1.3689,                 8.3541,                0.65181,                 1.0914,                 1.4934,                0.68446,                0.86773,                0.73044,                0.28716,                      0,                      0,                      0,                      0,                 1.7706,                 9.9736,                0.52461,                 1.1158,                  1.592,              0.0045505,              0.0045505,              0.0045505
                     11,                 1.3599,                  8.416,                0.64106,                 1.1131,                 1.4658,                0.73298,                0.89846,                0.75285,                0.31797,                0.17912,                0.07273,                0.03192,                 0.0046,                 1.8951,                 9.8328,                0.50217,                 1.1494,                 1.6493,              0.0045005,              0.0045005,              0.0045005
                     12,                 1.3263,                  7.924,                0.63558,                 1.0746,                 1.4528,                0.73699,                0.76424,                 0.6856,                0.30976,                0.12196,                0.12727,                 0.0568,                 0.0087,                 1.7426,                 9.7615,                0.47387,                 1.4839,                 1.5656,              0.0044506,              0.0044506,              0.0044506
                     13,                 1.3683,                 7.7408,                0.63009,                 1.1101,                 1.4819,                0.75312,                0.94291,                 0.7643,                0.34764,                0.12261,                0.14545,                0.05922,                0.01048,                 1.6867,                 9.4985,                0.45293,                 1.0471,                 1.5217,              0.0044006,              0.0044006,              0.0044006
                     14,                 1.3068,                 8.1255,                0.61902,                 1.0598,                 1.4482,                0.73407,                0.90909,                0.82534,                0.36151,                0.17574,                    0.2,                0.05458,                0.00942,                 1.7555,                  9.364,                0.41336,                0.95198,                 1.4974,              0.0043507,              0.0043507,              0.0043507
                     15,                  1.341,                 7.4984,                0.61733,                 1.0945,                  1.477,                 0.6525,                0.83636,                0.65481,                 0.1791,                0.22837,                0.18182,                0.09898,                0.01506,                 2.5718,                 9.4316,                0.39688,                 1.1542,                 2.1781,              0.0043007,              0.0043007,              0.0043007
                     16,                 1.2796,                 7.4173,                0.60461,                 1.0525,                 1.4294,                0.63817,                0.83636,                0.67383,                0.22575,                0.34171,                    0.2,                0.11115,                 0.0223,                 2.3088,                 9.2975,                0.39354,                 1.1308,                 1.7805,              0.0042508,              0.0042508,              0.0042508
                     17,                 1.3258,                  7.565,                 0.6133,                 1.0785,                 1.4611,                0.77865,                0.94545,                0.83384,                0.41639,                0.27541,                0.18182,                 0.0923,                0.02716,                 1.5317,                 9.2106,                0.36407,                0.90754,                  1.373,              0.0042008,              0.0042008,              0.0042008
                     18,                 1.2843,                 7.4762,                0.59031,                 1.0063,                 1.4044,                0.78392,                0.92354,                0.83105,                0.39619,                0.36123,                0.16364,                0.13071,                0.02663,                 1.6352,                 9.2316,                0.34163,                0.88053,                 1.4376,              0.0041509,              0.0041509,              0.0041509
                     19,                 1.2595,                 7.2882,                0.58467,                0.95998,                 1.3921,                0.80367,                0.96762,                0.85906,                0.53416,                0.33357,                0.36364,                0.18362,                0.04774,                 1.2116,                 8.9247,                0.33862,                 0.7562,                  1.209,              0.0041009,              0.0041009,              0.0041009
                     20,                 1.2572,                 7.2677,                0.57697,                0.99836,                 1.3794,                0.81174,                 0.9408,                0.84987,                0.51974,                0.38241,                0.41658,                0.24438,                0.05434,                 1.3363,                 8.8939,                0.32588,                 0.7771,                  1.254,               0.004051,               0.004051,               0.004051
                     21,                  1.242,                 7.0849,                0.58258,                0.98388,                 1.3873,                0.76754,                0.90909,                 0.7824,                0.36072,                0.38393,                0.37401,                0.21277,                0.04968,                 1.8786,                 8.7698,                0.32362,                0.90721,                 1.5608,               0.004001,               0.004001,               0.004001
                     22,                 1.2021,                 7.2097,                0.57391,                0.93755,                 1.3798,                0.78486,                0.94545,                 0.8554,                0.41679,                0.36334,                0.32727,                0.18902,                0.04663,                 1.5263,                 8.8732,                0.30904,                0.84259,                 1.4366,              0.0039511,              0.0039511,              0.0039511
                     23,                 1.2741,                   6.97,                0.56913,                 1.0251,                 1.4145,                0.77579,                0.94545,                0.80147,                 0.3665,                0.51677,                    0.4,                0.27724,                0.05964,                 1.7844,                 8.6999,                0.30688,                0.86832,                  1.543,              0.0039011,              0.0039011,              0.0039011
                     24,                 1.2367,                 7.0409,                0.56457,                0.95667,                 1.3853,                0.77375,                0.96364,                0.83241,                0.43224,                0.43484,                 0.4337,                0.28395,                0.08077,                  1.538,                 8.7932,                0.28412,                0.93923,                  1.356,              0.0038511,              0.0038511,              0.0038511
                     25,                 1.2169,                 6.6104,                0.55686,                0.96821,                 1.3711,                0.75633,                0.92727,                  0.814,                0.43041,                0.41067,                0.41818,                0.27062,                0.07854,                 1.4904,                 8.7523,                0.26449,                0.91093,                 1.3558,              0.0038012,              0.0038012,              0.0038012
                     26,                 1.2058,                 6.3879,                0.56568,                0.93445,                 1.3646,                 0.7844,                 0.9261,                0.85285,                0.46925,                0.45142,                0.47273,                0.25574,                0.07195,                 1.4307,                 8.7145,                0.25056,                0.88132,                  1.314,              0.0037512,              0.0037512,              0.0037512
                     27,                  1.227,                 6.6736,                  0.556,                0.94866,                 1.3913,                0.71982,                0.88757,                 0.7215,                0.30657,                0.38345,                    0.4,                0.21573,                 0.0853,                 1.8522,                 8.4945,                0.27065,                0.89198,                 1.5402,              0.0037013,              0.0037013,              0.0037013
                     28,                 1.2072,                 6.6197,                0.56291,                 0.9442,                 1.3874,                0.79818,                0.96364,                0.82779,                 0.4243,                0.43445,                0.50909,                 0.2776,                0.08215,                  1.544,                 8.3488,                0.26699,                0.82092,                 1.4041,              0.0036513,              0.0036513,              0.0036513
                     29,                   1.19,                 6.5588,                0.58211,                0.90514,                 1.3776,                0.81684,                0.97312,                0.86939,                0.50594,                0.52433,                0.58182,                 0.4006,                0.14034,                 1.3408,                 8.2944,                0.26012,                0.76737,                 1.2573,              0.0036014,              0.0036014,              0.0036014
                     30,                 1.2016,                 6.5189,                0.55632,                0.90949,                 1.3693,                0.81974,                0.92727,                0.84007,                0.44164,                0.52368,                0.54545,                  0.387,                0.14502,                 1.4653,                 8.4388,                 0.2553,                0.78257,                 1.3088,              0.0035514,              0.0035514,              0.0035514
                     31,                 1.1641,                 6.5704,                0.54559,                0.91873,                  1.334,                0.83793,                0.94013,                0.87357,                0.49148,                0.53087,                0.49091,                0.35268,                0.11565,                 1.3053,                 8.5973,                0.24445,                0.76243,                 1.2405,              0.0035015,              0.0035015,              0.0035015
                     32,                 1.1914,                 6.1641,                 0.5573,                0.92972,                 1.3682,                0.84968,                0.87273,                0.84849,                0.54765,                0.52623,                0.50494,                0.40947,                0.17775,                 1.1502,                 8.6295,                 0.2702,                0.80332,                 1.1759,              0.0034515,              0.0034515,              0.0034515
                     33,                 1.1976,                  6.455,                0.56111,                0.91082,                 1.3695,                0.85893,                0.88566,                0.85794,                 0.5643,                0.58039,                0.52727,                0.43147,                0.18088,                 1.0929,                 8.5079,                0.26378,                0.73878,                 1.1627,              0.0034016,              0.0034016,              0.0034016
                     34,                 1.1554,                 6.4091,                0.54182,                0.89146,                 1.3387,                0.86826,                0.87273,                0.85886,                0.58292,                0.50483,                0.50057,                0.36542,                0.12399,                 1.0329,                 8.6437,                0.24849,                0.72319,                 1.1175,              0.0033516,              0.0033516,              0.0033516
                     35,                 1.2035,                 6.3518,                0.55493,                0.88158,                 1.3656,                0.82877,                0.88011,                0.86253,                0.56548,                0.60779,                0.45455,                0.36189,                 0.1439,                 1.1469,                 8.5524,                0.23871,                0.75678,                 1.1685,              0.0033017,              0.0033017,              0.0033017
                     36,                 1.1704,                 6.0412,                0.57788,                0.95042,                 1.3775,                0.83739,                0.85455,                0.87781,                0.60625,                0.61512,                0.47273,                0.34258,                 0.1071,                 1.0419,                 8.5385,                0.22932,                0.73807,                 1.1506,              0.0032517,              0.0032517,              0.0032517
                     37,                 1.1722,                 6.1773,                0.55022,                0.92872,                 1.3505,                0.75758,                0.90911,                0.82376,                0.56522,                0.40061,                0.45455,                0.32518,                 0.1246,                 1.1031,                 8.5304,                0.23818,                  0.813,                 1.1736,              0.0032018,              0.0032018,              0.0032018
                     38,                 1.1692,                 6.2548,                0.55874,                0.94634,                  1.368,                0.77613,                0.96364,                0.84602,                0.48071,                 0.5793,                0.42573,                0.36465,                0.12402,                 1.3204,                 8.5362,                0.24056,                0.83979,                 1.2716,              0.0031518,              0.0031518,              0.0031518
                     39,                 1.2119,                 6.1892,                0.56673,                 0.9416,                 1.3743,                0.75325,                0.94545,                0.83675,                0.52937,                0.52814,                0.54545,                0.43058,                0.16362,                 1.2025,                  8.334,                0.25949,                0.77698,                 1.1848,              0.0031019,              0.0031019,              0.0031019
                     40,                 1.1218,                 6.1038,                0.55749,                0.91713,                 1.3167,                0.75396,                0.94545,                0.83145,                0.51289,                0.52201,                0.56364,                0.41728,                0.15843,                 1.3112,                 8.4081,                0.26668,                0.73997,                 1.2211,              0.0030519,              0.0030519,              0.0030519
                     41,                 1.1386,                 6.1582,                0.55996,                0.88465,                 1.3408,                 0.7745,                0.96364,                0.86306,                0.46742,                0.53908,                0.54545,                 0.4499,                 0.2147,                 1.4086,                 8.2866,                0.26049,                0.74253,                 1.2948,               0.003002,               0.003002,               0.003002
                     42,                 1.1784,                 6.1096,                0.56291,                0.90004,                 1.3303,                0.80423,                0.94545,                0.85671,                0.54182,                0.58754,                0.58182,                0.45693,                0.19795,                 1.2328,                 8.2651,                0.25692,                0.71962,                 1.1967,              0.0029521,              0.0029521,              0.0029521
