                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1066,                 11.469,                      0,                 2.7181,                 1.9645,                0.76343,                0.88019,                 0.7962,                0.41233,                      0,                      0,                      0,                      0,                  1.378,                  11.55,                      0,                 1.4766,                 1.2609,                0.00044,                0.00044,                0.00044
                      2,                 1.2926,                 11.284,                      0,                 1.2396,                 1.2543,                0.62494,                0.61818,                0.61094,                0.33904,                      0,                      0,                      0,                      0,                  1.347,                 11.361,                      0,                 2.3959,                 1.3299,              0.0008109,              0.0008109,              0.0008109
                      3,                 1.1868,                 11.051,                      0,                 1.1085,                 1.1885,                  0.835,                0.92019,                0.86516,                0.54046,                      0,                      0,                      0,                      0,                 1.2081,                 11.167,                      0,                 1.0068,                 1.2224,              0.0010907,              0.0010907,              0.0010907
                      4,                 1.1208,                 10.889,                      0,                 1.0474,                  1.162,                0.76762,                0.87273,                0.81698,                0.53076,                      0,                      0,                      0,                      0,                 1.1731,                 11.031,                      0,                  1.438,                 1.2491,              0.0012795,              0.0012795,              0.0012795
                      5,                 1.0683,                 10.687,                      0,                 0.9282,                 1.1272,                0.78156,                0.84575,                0.86144,                0.57146,                      0,                      0,                      0,                      0,                 1.0593,                 10.933,                      0,                0.97467,                 1.1416,               0.001208,               0.001208,               0.001208
                      6,                0.97035,                 10.542,                      0,                0.84522,                 1.0641,                0.75255,                0.94545,                0.80816,                0.56942,                      0,                      0,                      0,                      0,                 1.0109,                 10.804,                      0,                 1.0174,                 1.0996,                0.00101,                0.00101,                0.00101
                      7,                0.94413,                 10.357,                      0,                0.86949,                 1.0441,                0.74072,                0.92727,                0.84482,                0.61011,                      0,                      0,                      0,                      0,                0.99352,                 10.555,                      0,                0.90012,                 1.0925,               0.000812,               0.000812,               0.000812
                      8,                0.88636,                 10.259,                      0,                0.79208,                 1.0174,                0.84019,                0.86034,                0.87969,                0.68251,                0.03177,                0.03636,                0.00425,                0.00061,                0.82861,                 10.367,                      0,                0.74668,                0.99523,               0.000614,               0.000614,               0.000614
                      9,                0.85806,                 10.145,                      0,                 0.7473,                 1.0075,                0.80502,                0.87273,                0.88079,                0.67869,                      0,                      0,                      0,                      0,                0.82919,                 10.294,                      0,                0.70817,                0.99218,               0.000416,               0.000416,               0.000416
                     10,                0.77316,                 9.9855,                      0,                0.68721,                0.98371,                0.79478,                0.89091,                0.85923,                0.65484,                0.03852,                0.01818,                0.00346,                0.00035,                  0.808,                 10.155,                      0,                0.70334,                0.97088,               0.000218,               0.000218,               0.000218
