                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2572,                 9.6778,                0.67972,                 2.5744,                 2.3495,                 0.5023,                0.34545,                0.32401,                0.10273,                      0,                      0,                      0,                      0,                 2.7269,                 11.535,                0.37869,                 1.9163,                  2.394,                0.07811,                0.00011,                0.00011
                      2,                 1.5619,                 9.3382,                0.64388,                 1.5067,                 1.6855,                0.32097,                0.43636,                0.27685,                0.07025,                      0,                      0,                      0,                      0,                 3.0042,                 11.346,                0.35606,                  2.008,                 2.4133,               0.055223,             0.00022275,             0.00022275
                      3,                 1.5439,                 9.4235,                0.61517,                 1.3042,                 1.6277,                0.58914,                0.65181,                0.58776,                0.13703,                      0,                      0,                      0,                      0,                 2.7164,                 10.957,                 0.3503,                 1.3689,                 2.1665,               0.032333,             0.00033321,             0.00033321
                      4,                 1.4988,                 9.1315,                0.60859,                 1.2899,                 1.5912,                0.68178,                0.76364,                0.66021,                 0.1973,                      0,                      0,                      0,                      0,                 2.3554,                 10.704,                0.34048,                 1.4282,                 2.0119,              0.0094414,             0.00044136,             0.00044136
                      5,                 1.4274,                 8.9943,                0.59292,                 1.2414,                 1.5459,                0.67947,                0.73236,                0.64796,                0.21928,                0.05093,                0.01818,                0.00129,                0.00013,                 2.2976,                 10.595,                0.33347,                 1.2616,                  1.916,             0.00048002,             0.00048002,             0.00048002
                      6,                 1.4427,                 8.9157,                0.59015,                 1.1957,                  1.547,                0.66022,                0.81263,                0.64288,                0.19773,                0.03625,                0.03636,                0.00206,                0.00021,                 2.3347,                 10.502,                0.31386,                  1.321,                  1.988,             0.00047502,             0.00047502,             0.00047502
                      7,                 1.4598,                 8.7684,                0.60664,                 1.2039,                  1.559,                 0.7352,                 0.8582,                0.81447,                0.30205,                0.03383,                0.03636,                 0.0023,                0.00031,                 1.9831,                 10.524,                0.30474,                 1.4207,                 1.7592,             0.00047003,             0.00047003,             0.00047003
                      8,                 1.3857,                 8.4824,                0.58865,                 1.1692,                 1.5144,                0.75064,                0.93047,                 0.8161,                0.35166,                      0,                      0,                      0,                      0,                 1.7662,                 10.374,                0.29041,                 1.1329,                 1.5556,             0.00046503,             0.00046503,             0.00046503
                      9,                  1.374,                 8.5058,                0.58557,                 1.1291,                 1.4915,                0.77106,                0.94545,                0.78538,                 0.3994,                0.05343,                0.05455,                0.00789,                0.00134,                 1.6252,                 10.064,                0.28888,                 1.0459,                 1.4253,             0.00046004,             0.00046004,             0.00046004
                     10,                 1.3673,                 8.2616,                0.58881,                 1.0972,                 1.5005,                0.76535,                0.94887,                0.78313,                0.42951,                0.10468,                0.12727,                0.02671,                0.00293,                 1.4503,                 9.8333,                0.27617,                 1.1621,                 1.3664,             0.00045505,             0.00045505,             0.00045505
