                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.718,                 9.7784,                0.70936,                 3.0326,                 2.7547,                0.60442,                0.77791,                0.65287,                0.31494,                      0,                      0,                      0,                      0,                 1.5063,                 11.486,                 0.6799,                 1.4327,                 1.4232,                 0.0791,                 0.0011,                 0.0011
                      2,                 1.8111,                 9.6172,                0.70922,                 1.8364,                  1.923,                0.66133,                0.76364,                0.68306,                0.25018,                      0,                      0,                      0,                      0,                 2.1191,                 11.499,                0.67726,                 1.5837,                 1.6939,               0.057228,              0.0022277,              0.0022277
                      3,                 1.6155,                 9.7966,                0.69945,                 1.4185,                 1.6856,                0.70704,                0.81818,                0.77092,                0.31475,                      0,                      0,                      0,                      0,                 1.9663,                 11.405,                0.66135,                 1.1544,                 1.5637,               0.035333,              0.0033327,              0.0033327
                      4,                 1.5284,                   9.51,                0.68617,                 1.2757,                 1.6024,                0.63679,                0.70909,                0.61469,                0.21129,                      0,                      0,                      0,                      0,                 2.3732,                 11.234,                0.64074,                 1.2569,                  1.932,               0.013415,              0.0044149,              0.0044149
                      5,                 1.4991,                 9.4284,                0.67674,                 1.2652,                 1.5731,                0.63964,                0.76364,                0.62613,                0.18781,                      0,                      0,                      0,                      0,                 2.4069,                  11.03,                0.62332,                 1.2844,                 1.8982,               0.004802,               0.004802,               0.004802
                      6,                 1.4246,                  9.317,                   0.67,                  1.183,                 1.5155,                0.67698,                0.89091,                 0.7833,                0.34534,                      0,                      0,                      0,                      0,                 1.8499,                 10.925,                0.60615,                 1.3707,                  1.643,              0.0047525,              0.0047525,              0.0047525
                      7,                 1.4544,                 9.0867,                0.66627,                 1.2152,                 1.5307,                0.76737,                 0.8997,                0.81544,                0.39902,                      0,                      0,                      0,                      0,                 1.7985,                  10.66,                0.59408,                 1.0851,                 1.4611,               0.004703,               0.004703,               0.004703
                      8,                 1.3897,                 8.6971,                0.65589,                 1.1379,                 1.4921,                0.61484,                0.75469,                0.61371,                0.19224,                      0,                      0,                      0,                      0,                 2.3766,                 10.609,                0.57549,                 1.3793,                 2.0168,              0.0046535,              0.0046535,              0.0046535
                      9,                 1.4077,                 8.6201,                0.65579,                 1.1307,                 1.5006,                0.71432,                0.85455,                0.72027,                0.26947,                      0,                      0,                      0,                      0,                 1.9357,                 10.221,                0.55967,                  1.189,                 1.5442,               0.004604,               0.004604,               0.004604
                     10,                 1.3455,                 8.3796,                0.65486,                 1.0951,                 1.4789,                0.67293,                0.90909,                0.77251,                0.29977,                      0,                      0,                      0,                      0,                 2.0638,                  10.13,                0.53839,                 1.2073,                 1.7424,              0.0045545,              0.0045545,              0.0045545
                     11,                 1.3689,                 8.4285,                0.64477,                 1.1155,                 1.4555,                0.72405,                0.85455,                0.77084,                0.31408,                0.08956,                0.05455,                0.01247,                0.00125,                 1.8394,                 10.038,                0.50311,                 1.2103,                 1.5884,               0.004505,               0.004505,               0.004505
                     12,                 1.3493,                 7.9447,                0.63766,                 1.1043,                 1.4629,                0.73265,                0.85455,                0.81307,                0.39987,                0.11975,                0.10909,                0.02167,                0.00241,                 1.4581,                 9.8278,                0.47422,                 1.0724,                 1.3622,              0.0044555,              0.0044555,              0.0044555
                     13,                 1.3507,                 7.7851,                0.63131,                 1.1247,                 1.4808,                0.78047,                0.96364,                0.85063,                0.46866,                0.13255,                0.12727,                0.03918,                0.00519,                 1.2887,                 9.7533,                0.45549,                 0.9505,                 1.2701,               0.004406,               0.004406,               0.004406
                     14,                 1.3074,                 8.1339,                0.61828,                 1.0658,                 1.4655,                0.75107,                0.93263,                0.80857,                0.39256,                0.11021,                0.16364,                0.02431,                0.00329,                 1.6382,                 9.5611,                0.42883,                0.94827,                  1.481,              0.0043565,              0.0043565,              0.0043565
                     15,                 1.3667,                 7.5162,                0.61901,                 1.0729,                 1.4918,                0.77122,                0.76364,                0.67051,                0.24725,                 0.1449,                0.16364,                0.06021,                0.01271,                 2.2426,                 9.3159,                0.42493,                 1.0653,                 1.8182,               0.004307,               0.004307,               0.004307
                     16,                 1.2556,                 7.3924,                0.61004,                 1.0491,                 1.4134,                0.82372,                0.93463,                0.84249,                0.44263,                0.22971,                0.14545,                0.10548,                0.02614,                  1.477,                 9.1917,                0.41676,                0.86479,                 1.2681,              0.0042575,              0.0042575,              0.0042575
                     17,                   1.31,                 7.5641,                0.61948,                 1.0623,                 1.4553,                0.78513,                0.79728,                0.73147,                0.32484,                0.28167,                0.21818,                0.11589,                0.02937,                 1.8701,                 9.1649,                0.39774,                0.95628,                 1.5084,               0.004208,               0.004208,               0.004208
                     18,                 1.2768,                 7.4631,                0.59617,                 1.0029,                 1.3927,                0.79992,                0.94497,                0.83823,                0.42669,                0.33748,                0.27792,                0.17226,                0.03978,                 1.6325,                 8.9398,                0.37764,                0.82499,                 1.4066,              0.0041585,              0.0041585,              0.0041585
