                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.4183,                 6.9927,                0.44583,                 1.1587,                 1.5282,                0.77526,                0.87815,                0.81446,                0.36306,                0.40662,                0.43636,                0.27577,                0.07593,                 1.6794,                 8.4947,                0.10413,                  1.153,                 1.5007,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4423,                 6.6996,                0.42185,                 1.2163,                 1.5227,                0.77254,                0.86459,                0.81047,                0.45105,                0.40681,                0.45455,                0.30171,                0.10635,                 1.4255,                 8.5808,                0.10663,                 1.0171,                 1.3916,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4126,                 6.8144,                0.42801,                 1.1623,                 1.5096,                0.76469,                0.90909,                0.82662,                0.43789,                0.31938,                0.38182,                0.19861,                0.07235,                 1.5301,                 8.7123,                0.10877,                0.96554,                 1.4209,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3922,                 6.3668,                0.43003,                 1.1346,                 1.5085,                0.80554,                0.90909,                0.86126,                0.36139,                0.53672,                0.43636,                0.31999,                0.12796,                 1.8161,                 8.2391,                0.10413,                 1.1688,                 1.6272,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3995,                 6.2165,                0.42241,                 1.1166,                 1.5046,                0.81555,                 0.9647,                0.86298,                0.40556,                0.45431,                0.50909,                0.32846,                0.16274,                 1.7269,                 7.9098,                0.11035,                0.95252,                 1.5359,               0.001505,               0.001505,               0.001505
                     27,                 1.4277,                 6.5722,                0.41804,                  1.154,                 1.5282,                0.78659,                0.87123,                0.77142,                 0.3596,                0.47252,                0.52126,                0.28634,                0.11326,                 1.7571,                 8.0333,                0.10491,                0.92138,                 1.5303,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.423,                 6.4165,                0.42438,                 1.1392,                 1.5453,                0.75683,                0.76364,                0.76997,                0.38231,                0.46805,                0.38182,                0.24818,                0.09506,                 1.5526,                 8.6013,                0.12002,                 1.4789,                 1.5187,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3989,                 6.5834,                0.43812,                 1.1337,                 1.5301,                0.73448,                0.96364,                0.81187,                0.48358,                0.46946,                0.45455,                0.33598,                0.15776,                 1.3192,                 7.6894,                 0.1175,                0.91522,                 1.3034,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3982,                 6.5074,                0.42672,                 1.1337,                 1.5068,                0.77656,                0.92727,                0.85066,                0.47214,                0.55151,                0.56364,                  0.419,                0.18289,                 1.4012,                 7.9346,                0.10616,                0.93049,                 1.3247,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3103,                 6.4573,                0.39811,                 1.1394,                 1.4571,                0.67563,                0.78182,                0.59975,                 0.1914,                0.62835,                0.47273,                0.36517,                0.17728,                 2.1909,                 7.9484,                0.10106,                 1.1735,                 1.8068,               0.001406,               0.001406,               0.001406
                     32,                 1.3793,                 6.0385,                0.42704,                 1.1188,                 1.5053,                0.79816,                0.94545,                0.84437,                0.41151,                0.60452,                0.49091,                0.39936,                0.21577,                 1.4937,                  7.622,                  0.101,                0.92208,                 1.3634,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3732,                 6.3788,                0.41196,                 1.0995,                   1.48,                0.76924,                0.96364,                0.87435,                  0.429,                0.50167,                0.49091,                0.39013,                0.17862,                 1.4861,                 7.7473,                0.10489,                0.86485,                 1.3683,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3488,                 6.3163,                0.39405,                 1.0731,                  1.477,                0.79796,                0.93359,                0.84894,                0.46912,                0.50131,                0.54545,                 0.3589,                0.12665,                 1.4774,                 7.9844,                0.10016,                0.86748,                 1.3937,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3345,                 6.3022,                    0.4,                 1.0587,                 1.4659,                0.79575,                0.92091,                0.85122,                0.45829,                0.60133,                0.46631,                0.39652,                0.21305,                 1.4371,                 7.9598,                0.08297,                0.90018,                 1.3284,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3532,                 5.9376,                0.41267,                 1.1102,                 1.4931,                0.81029,                0.93198,                0.85682,                0.44498,                0.56202,                0.41818,                0.33749,                0.18753,                 1.3887,                 8.0545,                0.09663,                0.84347,                 1.3386,               0.001307,               0.001307,               0.001307
                     37,                 1.3317,                 6.1096,                0.39253,                 1.0764,                 1.4779,                0.78032,                0.96882,                0.83388,                0.44098,                0.57043,                0.49091,                0.42307,                0.19604,                  1.435,                 7.8804,                0.09746,                0.86948,                 1.3445,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.367,                  6.053,                0.40313,                 1.1189,                 1.4998,                0.81237,                0.96364,                0.84816,                0.46838,                0.56376,                 0.5405,                 0.4576,                0.22104,                 1.4371,                 7.6401,                0.08779,                0.85172,                  1.337,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3523,                 6.1564,                0.40929,                 1.1095,                 1.4656,                0.81881,                 0.9039,                0.86755,                0.48628,                0.55102,                0.54545,                 0.4444,                0.21933,                 1.3493,                 7.8442,                0.08296,                0.83451,                 1.2804,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2984,                 6.1001,                0.38645,                 1.0788,                 1.4278,                0.76884,                0.94545,                 0.8121,                0.37127,                0.68143,                0.43636,                0.40217,                0.19574,                 1.5981,                 7.9764,                0.08004,                  1.011,                  1.446,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3021,                 6.2036,                0.40682,                 1.0751,                 1.4516,                0.77032,                0.94545,                0.85011,                0.49632,                0.63717,                0.49091,                0.40866,                0.24266,                 1.4153,                 7.9936,                0.09224,                0.85862,                 1.3559,               0.001208,               0.001208,               0.001208
                     42,                  1.325,                   6.16,                0.40549,                 1.0665,                 1.4471,                0.81401,                0.96364,                0.88914,                0.54631,                0.65241,                0.51195,                0.43683,                0.23321,                 1.2012,                 7.9244,                0.09933,                0.79517,                 1.2304,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3229,                 5.7176,                0.37243,                 1.0508,                 1.4572,                0.78744,                0.98182,                0.86405,                0.50849,                0.65843,                0.50909,                0.42324,                0.19037,                 1.2126,                 8.0275,                0.08604,                0.93219,                 1.2389,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2681,                 5.9064,                0.37419,                 1.0723,                 1.4107,                0.81571,                0.96574,                0.86887,                0.44195,                0.60143,                0.52136,                0.45053,                0.25321,                  1.466,                 7.8899,                0.08167,                0.90331,                 1.3589,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3044,                 5.9221,                0.38701,                 1.0465,                  1.445,                0.78192,                0.92727,                 0.8003,                0.34236,                0.54372,                0.54545,                0.42214,                0.27858,                 1.8228,                 7.7428,                 0.0819,                0.90941,                  1.568,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3362,                 5.7446,                0.39123,                 1.0521,                 1.4523,                0.75393,                0.96364,                0.85806,                0.42164,                0.69237,                0.49091,                0.45098,                 0.2845,                 1.5449,                  7.686,                0.08663,                0.86732,                 1.4108,               0.001109,               0.001109,               0.001109
                     47,                  1.284,                   5.83,                0.37539,                 1.0565,                 1.4378,                0.82775,                0.96116,                0.88456,                0.53387,                0.64617,                    0.6,                0.45806,                0.24624,                 1.2768,                 7.6974,                0.08887,                 0.7387,                 1.2727,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2767,                 5.6306,                0.37633,                 1.0768,                 1.4428,                0.82206,                0.94545,                0.88657,                0.54822,                0.63019,                0.54545,                0.42713,                0.24341,                 1.2371,                  7.821,                0.08096,                0.76784,                 1.2393,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2584,                 5.5227,                0.35329,                 1.0093,                 1.3982,                0.83045,                0.96364,                0.85917,                0.45041,                0.61874,                0.65455,                0.47942,                0.23924,                 1.4961,                  7.662,                0.08372,                0.85136,                 1.3828,              0.0010496,              0.0010496,              0.0010496
