                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8601,                 10.528,                      0,                 2.3401,                 1.7547,                0.67591,                0.87216,                0.73809,                0.47018,                      0,                      0,                      0,                      0,                 1.2622,                 11.451,                      0,                 1.6798,                 1.2743,                0.00044,                0.00044,                0.00044
                      2,                 1.3278,                 10.217,                      0,                 1.2408,                 1.3037,                0.45759,                0.72727,                 0.5519,                0.31566,                      0,                      0,                      0,                      0,                  1.477,                 11.378,                      0,                 5.1065,                 1.4249,             0.00089109,             0.00089109,             0.00089109
                      3,                  1.395,                 10.131,                      0,                 1.2303,                 1.3113,                0.71065,                0.44669,                0.55955,                0.32353,                      0,                      0,                      0,                      0,                 1.4625,                   11.3,                      0,                 2.0027,                 1.4335,              0.0013331,              0.0013331,              0.0013331
                      4,                 1.2861,                 9.8412,                      0,                 1.1598,                  1.262,                 0.1195,                0.16364,                0.06924,                  0.028,                      0,                      0,                      0,                      0,                 2.6496,                 11.394,                      0,                 3.4092,                 2.5028,              0.0017659,              0.0017659,              0.0017659
                      5,                 1.2306,                 9.8043,                      0,                 1.1101,                 1.2276,                0.00491,                0.03636,                0.00065,                0.00029,                      0,                      0,                      0,                      0,                 4.8221,                 11.435,                      0,                 9.8454,                 4.7878,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2379,                 9.8838,                      0,                 1.0675,                  1.214,                0.79559,                0.43636,                0.54631,                0.33809,                      0,                      0,                      0,                      0,                 1.6035,                 11.115,                      0,                 3.4414,                 1.6052,               0.001901,               0.001901,               0.001901
                      7,                 1.2868,                 9.4923,                      0,                 1.0697,                 1.2401,                0.57386,                0.69091,                0.66032,                0.42717,                      0,                      0,                      0,                      0,                 1.5072,                 10.864,                      0,                 2.1523,                 1.4386,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1804,                 9.3623,                      0,                 1.0215,                 1.2117,                0.78203,                0.94545,                 0.8495,                0.54277,                0.02669,                0.01818,                0.00099,                 0.0001,                 1.2587,                 10.271,                      0,                0.95474,                 1.2869,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1593,                 9.2742,                      0,                 1.0335,                 1.2068,                0.77685,                0.94951,                0.80988,                0.53513,                0.01913,                0.01818,                0.00057,                  6e-05,                 1.0653,                 10.232,                      0,                 1.7208,                 1.1678,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1756,                 9.1419,                      0,                 0.9658,                 1.1814,                0.75196,                0.92727,                0.84322,                0.59128,                0.11482,                0.07273,                0.01598,                0.00161,                 1.1719,                 10.192,                      0,                 1.4777,                 1.2461,              0.0018218,              0.0018218,              0.0018218
