                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8053,                 10.559,                      0,                 2.3067,                 1.6988,                0.74624,                0.78182,                0.80848,                0.46922,                      0,                      0,                      0,                      0,                 1.2874,                 11.494,                      0,                 1.3958,                 1.2558,                0.00044,                0.00044,                0.00044
                      2,                 1.3206,                  10.28,                      0,                 1.2498,                  1.286,                0.58422,                0.78182,                0.61061,                0.35003,                      0,                      0,                      0,                      0,                 1.2837,                 11.332,                      0,                 1.6546,                 1.2212,             0.00089109,             0.00089109,             0.00089109
                      3,                 1.3599,                 10.183,                      0,                 1.2122,                  1.265,                0.71387,                    0.8,                0.77649,                0.49452,                      0,                      0,                      0,                      0,                 1.3276,                 11.229,                      0,                0.99825,                 1.2262,              0.0013331,              0.0013331,              0.0013331
                      4,                 1.3043,                 9.9274,                      0,                 1.1318,                 1.2353,                0.63972,                0.77488,                0.69962,                 0.4662,                      0,                      0,                      0,                      0,                 1.2097,                 11.202,                      0,                 1.4009,                 1.1622,              0.0017659,              0.0017659,              0.0017659
                      5,                 1.2793,                 9.8463,                      0,                 1.1408,                 1.2194,                0.64896,                0.85455,                0.73357,                0.45093,                      0,                      0,                      0,                      0,                  1.234,                 11.048,                      0,                 1.0739,                 1.2457,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2373,                 9.9544,                      0,                   1.07,                 1.2056,                0.67486,                    0.6,                 0.6571,                0.38753,                      0,                      0,                      0,                      0,                 1.3652,                 11.067,                      0,                 1.3868,                 1.3603,               0.001901,               0.001901,               0.001901
                      7,                 1.2319,                 9.5715,                      0,                 1.0758,                 1.1965,                0.77005,                 0.7916,                0.85271,                0.55884,                      0,                      0,                      0,                      0,                 1.1246,                 10.944,                      0,                 1.4726,                 1.1678,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1628,                 9.4743,                      0,                 1.0004,                 1.1587,                0.82073,                0.83244,                0.85599,                0.56653,                0.05104,                0.01818,                0.00186,                0.00019,                 1.1303,                 10.537,                      0,                 1.0551,                 1.1842,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1734,                 9.3982,                      0,                0.98272,                 1.1624,                0.81203,                0.94257,                0.87942,                 0.6029,                0.02963,                0.01818,                0.00149,                0.00015,                 1.0785,                 10.268,                      0,                0.93096,                 1.1537,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1141,                 9.2757,                      0,                0.93793,                 1.1384,                0.74998,                0.94545,                0.85521,                0.62052,                 0.0412,                0.01818,                0.00216,                0.00043,                 1.0466,                 10.186,                      0,                0.92667,                 1.1099,              0.0018218,              0.0018218,              0.0018218
