                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8014,                 10.535,                      0,                 2.2724,                 1.6954,                0.65686,                0.89091,                0.79462,                0.47176,                      0,                      0,                      0,                      0,                 1.2201,                 11.513,                      0,                 1.5113,                 1.1903,                0.00044,                0.00044,                0.00044
                      2,                 1.3583,                 10.249,                      0,                 1.2568,                 1.2862,                  0.724,                0.76311,                0.79568,                0.47133,                      0,                      0,                      0,                      0,                 1.2841,                 11.279,                      0,                 1.4389,                 1.3251,             0.00086436,             0.00086436,             0.00086436
                      3,                 1.3772,                 10.144,                      0,                 1.2283,                 1.2841,                 0.6411,                    0.8,                0.73669,                0.48139,                      0,                      0,                      0,                      0,                 1.1316,                 11.192,                      0,                 1.4884,                 1.1614,              0.0012523,              0.0012523,              0.0012523
                      4,                 1.2427,                 9.8466,                      0,                 1.0778,                 1.2129,                0.66865,                0.88061,                 0.7483,                0.52931,                      0,                      0,                      0,                      0,                0.99284,                  11.05,                      0,                 1.1856,                 1.0829,              0.0016038,              0.0016038,              0.0016038
                      5,                 1.2132,                 9.7571,                      0,                 1.0824,                 1.2043,                0.56214,                0.56364,                0.42679,                0.19185,                      0,                      0,                      0,                      0,                 1.8191,                  11.15,                      0,                 2.7245,                  1.706,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.2338,                  9.887,                      0,                 1.0387,                 1.1734,                0.71724,                0.89091,                0.81865,                0.57406,                      0,                      0,                      0,                      0,                 1.0178,                 10.919,                      0,                 1.2904,                 1.0744,               0.001604,               0.001604,               0.001604
                      7,                 1.1882,                 9.5239,                      0,                0.99812,                 1.1898,                0.73519,                0.89091,                 0.8154,                0.57719,                      0,                      0,                      0,                      0,                 1.0617,                 10.803,                      0,                 1.0027,                 1.1364,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.1106,                 9.4395,                      0,                0.93427,                 1.1347,                0.81958,                0.90856,                 0.8658,                0.61135,                0.05557,                0.01818,                 0.0016,                0.00032,                 1.0381,                 10.392,                      0,                0.78086,                 1.0867,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.0749,                 9.3741,                      0,                0.91565,                 1.1231,                0.81241,                0.94493,                0.84973,                0.63217,                0.06125,                0.03636,                0.00504,                0.00062,                0.88357,                 10.278,                      0,                0.88118,                 1.0201,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.0239,                   9.19,                      0,                0.86343,                  1.094,                0.76053,                0.96364,                0.87234,                0.60619,                      0,                      0,                      0,                      0,                 1.0294,                 10.227,                      0,                0.87008,                 1.0856,              0.0012872,              0.0012872,              0.0012872
                     11,                  1.019,                 9.2919,                      0,                0.89496,                  1.078,                 0.7643,                0.96364,                0.83509,                0.61591,                0.04288,                0.05455,                0.00405,                0.00058,                0.96001,                 10.037,                      0,                0.75357,                 1.0799,               0.001208,               0.001208,               0.001208
                     12,                0.99619,                 8.8972,                      0,                0.84892,                 1.0828,                 0.7318,                0.92727,                 0.7922,                0.59192,                0.08564,                0.05455,                0.01539,                0.00336,                0.97577,                 9.9524,                      0,                0.81636,                 1.0822,              0.0011288,              0.0011288,              0.0011288
                     13,                0.98948,                  8.869,                      0,                0.84686,                 1.0796,                0.77413,                0.94545,                 0.8795,                0.66806,                0.10039,                0.10909,                0.02223,                0.00305,                0.90881,                 9.7989,                      0,                0.69087,                 1.0538,              0.0010496,              0.0010496,              0.0010496
                     14,                0.94861,                  8.987,                      0,                 0.8219,                  1.059,                0.77506,                0.96364,                0.87394,                0.64996,                0.10651,                0.12727,                0.01895,                 0.0024,                0.90153,                 9.7644,                      0,                0.72359,                 1.0585,              0.0009704,              0.0009704,              0.0009704
                     15,                0.96995,                 8.5169,                      0,                0.82995,                 1.0798,                0.77142,                0.96364,                0.86741,                0.66116,                0.12092,                0.09091,                 0.0335,                0.00406,                0.88749,                 9.6512,                      0,                0.69536,                 1.0225,              0.0008912,              0.0008912,              0.0008912
                     16,                0.77276,                 9.3783,                      0,                0.67225,                 0.9653,                0.77247,                0.96364,                0.88956,                0.69355,                0.10511,                0.10909,                0.02815,                 0.0031,                0.85965,                 9.6708,                      0,                0.69611,                 1.0215,               0.000812,               0.000812,               0.000812
                     17,                 0.7581,                 9.1344,                      0,                0.65164,                0.97055,                0.80214,                0.95832,                0.88659,                0.70033,                0.14794,                0.16364,                0.08674,                 0.0092,                0.83279,                 9.6435,                      0,                0.68329,                0.99672,              0.0007328,              0.0007328,              0.0007328
                     18,                 0.7091,                 9.1306,                      0,                0.63501,                0.93648,                0.79193,                0.92727,                0.85841,                0.68106,                0.26112,                0.16364,                0.10325,                0.01423,                0.82574,                  9.496,                      0,                0.65785,                0.97748,              0.0006536,              0.0006536,              0.0006536
                     19,                0.71281,                  9.035,                      0,                0.61401,                0.93879,                0.76009,                0.92172,                 0.8546,                 0.6794,                0.39342,                0.22418,                0.22168,                0.04228,                0.78003,                 9.4058,                      0,                  0.696,                0.95529,              0.0005744,              0.0005744,              0.0005744
                     20,                0.67846,                 8.9075,                      0,                0.58563,                0.92991,                0.74359,                0.96364,                0.86527,                0.68973,                0.36045,                0.21818,                0.17544,                0.03054,                0.81641,                 9.3569,                      0,                0.68024,                0.96127,              0.0004952,              0.0004952,              0.0004952
                     21,                0.67221,                 8.8636,                      0,                0.57239,                0.92971,                0.79195,                0.92727,                0.87996,                0.70364,                0.22175,                0.27273,                0.15219,                0.02958,                0.81031,                 9.4276,                      0,                0.67846,                0.95526,               0.000416,               0.000416,               0.000416
                     22,                0.64209,                 8.6851,                      0,                 0.5548,                0.90773,                0.78356,                0.94545,                0.87337,                0.71948,                0.36243,                0.23636,                0.20355,                0.04493,                0.76238,                  9.312,                      0,                0.65346,                0.94171,              0.0003368,              0.0003368,              0.0003368
                     23,                0.63738,                 8.6283,                      0,                0.54745,                0.90605,                0.79912,                0.94545,                0.86301,                 0.7065,                0.35999,                0.23524,                0.18327,                0.04522,                0.73282,                 9.2704,                      0,                 0.6413,                0.93655,              0.0002576,              0.0002576,              0.0002576
                     24,                0.60978,                 8.4598,                      0,                0.52268,                0.89556,                0.80808,                0.91873,                0.88575,                0.72156,                0.41344,                0.30909,                0.25287,                0.05654,                0.74212,                  9.287,                      0,                0.61593,                0.94724,              0.0001784,              0.0001784,              0.0001784
                     25,                0.59858,                 8.5241,                      0,                0.52319,                 0.9102,                0.80226,                0.94545,                0.89416,                 0.7354,                0.40919,                0.30909,                 0.2626,                0.05301,                0.72222,                 9.2565,                      0,                0.61402,                0.94514,               9.92e-05,               9.92e-05,               9.92e-05
